Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Good one,145 people found this helpful,Amazon Customer,-,5,2020-03-24T12:32:17,I gifted this to my friend on her birthday  she is very happy with the product..
Five Stars,86 people found this helpful,Priyanka,-,5,2020-07-23T17:59:17,Such a nice watch at this price.... Wonderful..... Happy with the purchase
Good,66 people found this helpful,Janardhan,-,5,2020-08-22T17:59:17,Good. She liked!
Love the watch!,16 people found this helpful,Bhavatarini,-,5,2020-06-27T11:59:17,Amazing watch. People who have thin wrist like me can definitely go for it without a second thought. Dial is in medium size. So it is very good for thin wrist as a big dial could cover the complete upper portion of your wrist. Baby pink colour is mild just as shown in the picture. Amazing watch for affordable price. Good for daily use. Worth the money.
Go n get it. . . .!!,12 people found this helpful,Pranav thapliyal,-,5,2020-08-01T17:23:17,I loveď it.. .. seriously . .I mean while selecting i was 70% sure but when I got it for my gf. I was 100%  after a long time my gf said that u made a good choice . She got happy n seeing her happy I myself became happy. Thankzz Amazon for having such quality products. .
😍😍😍😍😍😍😍😍😍😍,16 people found this helpful,harathi ravikumar k,-,5,2020-01-23T12:59:17,toooooo lovely cute amazing choooooo chweeeeet very pretty  i got this at 1020rs after amazon pay cash back discount
Buy brown color dail  instead of pink ..,6 people found this helpful,Sowmya,-,5,2020-07-16T12:59:17,Product was good for small wrist girls  I have big wrist  but the dail color is not good after seeing this product I think I ordered brown color dail in the same model I give this watch to my sister  I don t like this watch any one want to buy u go for brown color   although your favorite color is pink also ...trust me brown will be good compare to pink I saw my friend wearing same watch in brown color that is really good compare to pink
Five Stars,17 people found this helpful,Ayush,-,5,2020-08-13T14:59:17,Very good product
Totally worth it.,8 people found this helpful,Mohit K.,-,5,2020-01-11T11:59:17,I loved it. The style finish everything. The dial though is slightly smaller to what I expected it to be. But at this price you should just enjoy it s grace. Totally worth it. The Can pack is cool but would request a more sturdy case. Wanted to add a pic but have packed it for gifting purpose.
Looks good  but issue with strap,One person found this helpful,Amazon Customer,-,5,2020-03-19T13:59:17,I got one recently for my daughter who was insisting on a pink colored dial. The watch looks good  but due to the pattern on the dial  it is difficult to spot the minute hand at certain angles. The first day itself the strap pin came out  and after getting it fixed  it again came off. The strap does not look to be of good build quality.
Best cool classy,-,Om,-,5,2020-08-01T17:23:17,Looooks too good and best watch from fastrack
Best one,-,Saikat Gayen,-,5,2020-09-05T17:59:17,I love FasTrack. Very good watch.
Awesome😘♥️♥️♥️♥️♥️♥️,-,Sudipa,-,5,2020-06-18T12:59:17,Liked it very much....
